2025/03/08 14:45:53 --- MTP Music Manager Started ---
2025/03/08 14:45:53 OS: darwin, Architecture: arm64
2025/03/08 14:45:53 Verbose logging: true
2025/03/08 14:45:53 [VERBOSE] (main.go:25) Starting MTP Music Manager
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingMountainMTB.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingeBike.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingeMTB.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingCyclocrossCyclocross.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingGravel_Bike.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingBike_Commute.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingBike_Tour.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingRoadRoad_Bike.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/CyclingBMX.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/SwimmingOpen_WaterOpen_Water.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/SwimmingLap_SwimPool_Swim.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Health_Snapshot.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Hike.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Disc_Golf.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Ski.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Snowboard.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Backcountry_Snowboard.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Backcountry_Ski.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/XC_Classic_Ski.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/XC_Skate_Ski.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Mountaineering.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/WalkingWalk.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/WalkingWalk_Indoor.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Ice_Skating.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Inline_Skating.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/SUP.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Kayak.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Row.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Indoor_RowingRow_Indoor.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TrainingStrg_TrainStrength.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TrainingCardio.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TrainingBreathwork.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TrainingYoga.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Fitness_EquipmentPilates.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Boxing.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Mixed_Martial_Arts.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Archery.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Ultimate_Disc.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Floor_Climb.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Fitness_EquipmentEllipticalElliptical.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Fitness_EquipmentStair_ClimbStair_Stepper.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Jump_Rope.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Bouldering.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Climb_Indoor.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/GenericNavigate.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/GenericTrack_Me.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/GenericMap.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/GenericOther.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Golf.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/RunningUltra_Run.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/HIIT.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/PadelPadel.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/PickleballPickleball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Squash.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Racquetball.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Badminton.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Snowshoe.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TennisTennis.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TennisTable_Tennis.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Motorcycle.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/TennisPlatform_Tennis.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/ATV.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Snowmobile.fit (IsDir: false)
2025/03/08 14:45:56 [VERBOSE] (list.go:680) Examining file: /GARMIN/Sports/Motocross.fit (IsDir: false)
